Date,Symbol,Indexvalue
15.02.2013,V2TX,18.8463
18.02.2013,V2TX,19.3248
19.02.2013,V2TX,18.4631
20.02.2013,V2TX,19.6147
21.02.2013,V2TX,21.5133
22.02.2013,V2TX,20.8556
25.02.2013,V2TX,21.3086
26.02.2013,V2TX,25.8975
27.02.2013,V2TX,22.0043
28.02.2013,V2TX,21.0046
01.03.2013,V2TX,21.7728
04.03.2013,V2TX,21.4361
05.03.2013,V2TX,19.5539
06.03.2013,V2TX,20.1143
07.03.2013,V2TX,18.7353
08.03.2013,V2TX,17.3844
11.03.2013,V2TX,17.6154
12.03.2013,V2TX,17.3243
13.03.2013,V2TX,16.9279
14.03.2013,V2TX,15.0835
15.03.2013,V2TX,15.7276
18.03.2013,V2TX,18.0979
19.03.2013,V2TX,21.5306
20.03.2013,V2TX,18.8741
21.03.2013,V2TX,19.7897
22.03.2013,V2TX,21.2876
25.03.2013,V2TX,21.2387
26.03.2013,V2TX,20.8755
27.03.2013,V2TX,21.8599
28.03.2013,V2TX,20.8944
02.04.2013,V2TX,19.6165
03.04.2013,V2TX,20.7645
04.04.2013,V2TX,21.0977
05.04.2013,V2TX,22.2855
08.04.2013,V2TX,21.4857
09.04.2013,V2TX,20.4229
10.04.2013,V2TX,19.1768
11.04.2013,V2TX,18.848
12.04.2013,V2TX,20.2145
15.04.2013,V2TX,20.1989
16.04.2013,V2TX,20.5067
17.04.2013,V2TX,22.7545
18.04.2013,V2TX,21.949
19.04.2013,V2TX,20.4999
22.04.2013,V2TX,20.638
23.04.2013,V2TX,19.2103
24.04.2013,V2TX,18.9814
25.04.2013,V2TX,19.4097
26.04.2013,V2TX,19.7111
29.04.2013,V2TX,19.9773
30.04.2013,V2TX,20.261
02.05.2013,V2TX,18.7486
03.05.2013,V2TX,17.6329
06.05.2013,V2TX,18.0551
07.05.2013,V2TX,17.4472
08.05.2013,V2TX,17.3575
09.05.2013,V2TX,17.2186
10.05.2013,V2TX,17.4277
13.05.2013,V2TX,17.6724
14.05.2013,V2TX,17.1365
15.05.2013,V2TX,16.639
16.05.2013,V2TX,16.2609
17.05.2013,V2TX,16.313
20.05.2013,V2TX,16.672
21.05.2013,V2TX,16.9073
22.05.2013,V2TX,16.2933
23.05.2013,V2TX,18.3633
24.05.2013,V2TX,18.4925
27.05.2013,V2TX,18.152
28.05.2013,V2TX,17.7473
29.05.2013,V2TX,19.6808
30.05.2013,V2TX,18.8641
31.05.2013,V2TX,19.6048
03.06.2013,V2TX,21.3772
04.06.2013,V2TX,21.0043
05.06.2013,V2TX,22.2683
06.06.2013,V2TX,22.1956
07.06.2013,V2TX,19.9529
10.06.2013,V2TX,19.5903
11.06.2013,V2TX,21.0051
12.06.2013,V2TX,21.7413
13.06.2013,V2TX,22.1068
14.06.2013,V2TX,21.2645
17.06.2013,V2TX,21.1025
18.06.2013,V2TX,20.8403
19.06.2013,V2TX,20.4065
20.06.2013,V2TX,23.6094
21.06.2013,V2TX,24.0473
24.06.2013,V2TX,25.3001
25.06.2013,V2TX,24.1377
26.06.2013,V2TX,22.5505
27.06.2013,V2TX,21.6929
28.06.2013,V2TX,21.8175
01.07.2013,V2TX,21.8282
02.07.2013,V2TX,21.5897
03.07.2013,V2TX,22.6511
04.07.2013,V2TX,21.3419
05.07.2013,V2TX,22.5944
08.07.2013,V2TX,21.5829
09.07.2013,V2TX,20.6393
10.07.2013,V2TX,20.3708
11.07.2013,V2TX,18.9757
12.07.2013,V2TX,19.072
15.07.2013,V2TX,18.9011
16.07.2013,V2TX,19.2437
17.07.2013,V2TX,18.4869
18.07.2013,V2TX,17.6938
19.07.2013,V2TX,17.2343
22.07.2013,V2TX,17.4706
23.07.2013,V2TX,17.3366
24.07.2013,V2TX,17.085
25.07.2013,V2TX,17.4835
26.07.2013,V2TX,18.1141
29.07.2013,V2TX,18.7032
30.07.2013,V2TX,18.8439
31.07.2013,V2TX,19.0644
01.08.2013,V2TX,23.3121
02.08.2013,V2TX,16.8183
05.08.2013,V2TX,17.3314
06.08.2013,V2TX,17.9242
07.08.2013,V2TX,18.2711
08.08.2013,V2TX,17.3468
09.08.2013,V2TX,17.1706
12.08.2013,V2TX,17.3567
13.08.2013,V2TX,17.0781
14.08.2013,V2TX,16.6396
15.08.2013,V2TX,17.2894
16.08.2013,V2TX,16.4082
19.08.2013,V2TX,17.4926
20.08.2013,V2TX,19.1958
21.08.2013,V2TX,20.5374
22.08.2013,V2TX,18.7137
23.08.2013,V2TX,17.8238
26.08.2013,V2TX,17.9047
27.08.2013,V2TX,22.1683
28.08.2013,V2TX,22.3124
29.08.2013,V2TX,21.1498
30.08.2013,V2TX,23.4785
02.09.2013,V2TX,21.9028
03.09.2013,V2TX,23.0533
04.09.2013,V2TX,22.0945
05.09.2013,V2TX,21.5095
